project_id,usage_start_time,service,sku,region,cost,credits,instance
proj-1,2024-11-17,Compute Engine,sku-COM-13,us-central1,10.98,0.0,vm-prod-1
proj-2,2024-11-17,Cloud Storage,sku-CLO-26,europe-west1,2.88,0.0,vm-dev-1
proj-3,2024-11-17,BigQuery,sku-BIG-39,europe-west1,34.34,0.0,vm-batch-1
proj-4,2024-11-17,Dataflow,sku-DAT-52,europe-west1,33.66,0.0,vm-analytics-1
proj-5,2024-11-17,Cloud Run,sku-CLO-65,europe-west1,5.83,0.0,vm-prod-1
proj-6,2024-11-17,Compute Engine,sku-COM-78,asia-south1,11.36,0.0,vm-dev-1
proj-7,2024-11-17,Cloud Storage,sku-CLO-91,europe-west1,23.37,0.0,vm-batch-1
proj-8,2024-11-17,BigQuery,sku-BIG-104,us-central1,31.76,0.0,vm-analytics-1
proj-9,2024-11-17,Dataflow,sku-DAT-117,us-central1,37.38,0.0,vm-prod-1
proj-10,2024-11-17,Cloud Run,sku-CLO-130,us-central1,5.89,0.0,vm-dev-1
proj-11,2024-11-17,Compute Engine,sku-COM-143,europe-west1,10.99,0.0,vm-batch-1
proj-12,2024-11-17,Cloud Storage,sku-CLO-156,asia-south1,2.9,0.0,vm-analytics-1
proj-13,2024-11-17,BigQuery,sku-BIG-169,europe-west1,32.97,0.0,vm-prod-1
proj-14,2024-11-17,Dataflow,sku-DAT-182,asia-south1,295.53,0.0,vm-dev-1
proj-15,2024-11-17,Cloud Run,sku-CLO-195,asia-south1,5.77,0.0,vm-batch-1
proj-16,2024-11-17,Compute Engine,sku-COM-208,us-central1,10.78,0.0,vm-analytics-1
proj-17,2024-11-17,Cloud Storage,sku-CLO-221,us-central1,2.81,0.0,vm-prod-1
proj-18,2024-11-17,BigQuery,sku-BIG-234,asia-south1,33.87,0.0,vm-dev-1
proj-19,2024-11-17,Dataflow,sku-DAT-247,asia-south1,35.3,0.0,vm-batch-1
proj-20,2024-11-17,Cloud Run,sku-CLO-260,asia-south1,5.57,0.0,vm-analytics-1
proj-21,2024-11-17,Compute Engine,sku-COM-273,europe-west1,92.02,0.0,vm-prod-1
proj-22,2024-11-17,Cloud Storage,sku-CLO-286,europe-west1,3.11,0.0,vm-dev-1
proj-23,2024-11-17,BigQuery,sku-BIG-299,us-central1,34.38,0.0,vm-batch-1
proj-24,2024-11-17,Dataflow,sku-DAT-312,europe-west1,37.88,0.0,vm-analytics-1
proj-25,2024-11-17,Cloud Run,sku-CLO-325,asia-south1,5.56,0.0,vm-prod-1
proj-26,2024-11-17,Compute Engine,sku-COM-338,asia-south1,12.02,0.0,vm-dev-1
proj-27,2024-11-17,Cloud Storage,sku-CLO-351,europe-west1,2.8,0.0,vm-batch-1
proj-28,2024-11-17,BigQuery,sku-BIG-364,us-central1,279.61,0.0,vm-analytics-1
proj-29,2024-11-17,Dataflow,sku-DAT-377,europe-west1,35.46,0.0,vm-prod-1
proj-30,2024-11-17,Cloud Run,sku-CLO-390,us-central1,4.46,0.0,vm-dev-1
proj-1,2024-11-18,Compute Engine,sku-COM-13,europe-west1,93.35,0.0,vm-prod-1
proj-2,2024-11-18,Cloud Storage,sku-CLO-26,asia-south1,3.06,0.0,vm-dev-1
proj-3,2024-11-18,BigQuery,sku-BIG-39,asia-south1,39.61,0.0,vm-batch-1
proj-4,2024-11-18,Dataflow,sku-DAT-52,europe-west1,41.57,0.0,vm-analytics-1
proj-5,2024-11-18,Cloud Run,sku-CLO-65,europe-west1,5.74,0.0,vm-prod-1
proj-6,2024-11-18,Compute Engine,sku-COM-78,asia-south1,12.19,0.0,vm-dev-1
proj-7,2024-11-18,Cloud Storage,sku-CLO-91,europe-west1,3.17,0.0,vm-batch-1
proj-8,2024-11-18,BigQuery,sku-BIG-104,us-central1,284.97,0.0,vm-analytics-1
proj-9,2024-11-18,Dataflow,sku-DAT-117,asia-south1,42.47,0.0,vm-prod-1
proj-10,2024-11-18,Cloud Run,sku-CLO-130,us-central1,7.23,0.0,vm-dev-1
proj-11,2024-11-18,Compute Engine,sku-COM-143,europe-west1,13.58,0.0,vm-batch-1
proj-12,2024-11-18,Cloud Storage,sku-CLO-156,asia-south1,3.46,0.0,vm-analytics-1
proj-13,2024-11-18,BigQuery,sku-BIG-169,asia-south1,38.59,0.0,vm-prod-1
proj-14,2024-11-18,Dataflow,sku-DAT-182,asia-south1,41.71,0.0,vm-dev-1
proj-15,2024-11-18,Cloud Run,sku-CLO-195,europe-west1,49.47,0.0,vm-batch-1
proj-16,2024-11-18,Compute Engine,sku-COM-208,europe-west1,11.92,10.61,vm-analytics-1
proj-17,2024-11-18,Cloud Storage,sku-CLO-221,us-central1,3.34,0.0,vm-prod-1
